Image,Article,Colour,Size,Pair,Price,Rate List Price,Thumbnail,OCR JSON
"IMG-20251003-WA0135.jpg","tataee","I/O","j","24","","","",""
"IMG-20251003-WA0136.jpg","Bullet-16","Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0137.jpg","Bullet","Tblue","6/9-7/10","24","","","",""
"IMG-20251003-WA0138.jpg","Hunter-01","Black/","6x9 7x10","5","","","",""
"IMG-20251003-WA0139.jpg","Bullet","Tblue/Yellow","6/9-7/10","24","","","",""
"IMG-20251003-WA0140.jpg","Bullet","Pair","6/9-7/10","24","","","",""
"IMG-20251003-WA0141.jpg","Bullet-10","Water","6x9 7x10","24","","","",""
"IMG-20251003-WA0142.jpg","Hunter-8","Bk/Wt","6/9-7/10","24","","","",""
"IMG-20251003-WA0143.jpg","Hunter-6","Black/Wt","6/9-7/10","24","","","",""
"IMG-20251003-WA0144.jpg","Hunter-11","o.","7/10","o.","","","",""
"IMG-20251003-WA0145.jpg","Hunter-7","Tblue/Wt","6/9-7/10","24","","","",""
"IMG-20251003-WA0146.jpg","Hunter","Dgry","None","i","","","",""
"IMG-20251003-WA0147.jpg","Hunter-12","Dgry/Wt","6/9-7/10","24","","","",""
"IMG-20251003-WA0148.jpg","Hunter-1","Navy/Wt","6/9-7/10","24","","","",""
"IMG-20251003-WA0149.jpg","Hunter-03","Wht/Sky/","6x9 7x10","2h","","","",""
"IMG-20251003-WA0150.jpg","Track-03","Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0151.jpg","TRK1","Navy","6/9-7/10","24","","","",""
"IMG-20251003-WA0152.jpg","Hunter-11","Tblue/Wt","6/9-7/10","11","","","",""
"IMG-20251003-WA0153.jpg","Hunter-10","Navy/Wt","6/9-7/10","24","","","",""
"IMG-20251003-WA0154.jpg","Track-09","Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0155.jpg","TRK 5","MHD","6*9 7*10","24","","","",""
"IMG-20251003-WA0156.jpg","Track","Bk/Wt","6/9-7/10","24","","","",""
"IMG-20251003-WA0157.jpg","TRK 5","BRN","6*9 7*10","24","","","",""
"IMG-20251003-WA0158.jpg","None","Blue","6x9 7x10","24","","","",""
"IMG-20251003-WA0159.jpg","Track","Navy","6/9-7/10","24","","","",""
